bank,speaker,date_au,doc_id,clipped_score,rolling_90d_score,rolling_30d_score,prior_60d_score,shift_30_vs_prior_60,shift_direction
RIKSBANK,Anna Breman,2024-06-01,DOC_9972A9AB3B4F,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman,2024-06-01,DOC_A820B7480411,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman,2024-06-01,DOC_DA9E3B06B3F6,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman visited Visby,2024-06-01,DOC_F94911F9C8D1,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman visits Karlskrona,2024-06-01,DOC_6FD840D34A5C,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Seim,2024-06-01,DOC_B3AD547E0082,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Seim,2025-06-01,DOC_968025E87883,0.0,0.0,0.0,,,stable
RIKSBANK,Cecilia Skingsley,2021-06-01,DOC_5146EA18E7D9,0.0,0.0,0.0,,,stable
RIKSBANK,Cecilia Skingsley,2021-06-01,DOC_6B21B920E0EE,0.0,0.0,0.0,,,stable
RIKSBANK,Cecilia Skingsley,2021-06-01,DOC_73FA4F521B9D,0.0,0.0,0.0,,,stable
RIKSBANK,Cecilia Skingsley,2021-06-01,DOC_ED50255E376E,0.0,0.0,0.0,,,stable
RIKSBANK,Cecilia Skingsley,2022-06-01,DOC_0EA6F1A69CD3,0.0,0.0,0.0,,,stable
RIKSBANK,Digitalisation And Geopolitics,2025-06-01,DOC_10717B6AB29C,0.0,0.0,0.0,,,stable
RIKSBANK,Erik Thedéen,2023-06-01,DOC_157C131A3AC6,1.4,1.4,1.4,,,stable
RIKSBANK,Erik Thedéen,2023-06-01,DOC_255EC10258A7,0.0,0.7,0.7,,,stable
RIKSBANK,Erik Thedéen,2023-06-01,DOC_2E4C378E7BBE,0.0,0.4666666666666666,0.4666666666666666,,,stable
RIKSBANK,Erik Thedéen,2023-06-01,DOC_51C1DAFE7E1C,0.0,0.35,0.35,,,stable
RIKSBANK,Erik Thedéen,2023-06-01,DOC_53636974C9E9,0.0,0.27999999999999997,0.27999999999999997,,,stable
RIKSBANK,Erik Thedéen,2023-06-01,DOC_78D9D6207FA9,0.0,0.2333333333333333,0.2333333333333333,,,stable
RIKSBANK,Erik Thedéen,2023-06-01,DOC_D40EEBCA736B,0.0,0.19999999999999998,0.19999999999999998,,,stable
RIKSBANK,Erik Thedéen,2023-06-01,DOC_D4BD8FEF1A96,0.0,0.175,0.175,,,stable
RIKSBANK,Erik Thedéen,2023-06-01,DOC_EA4594A2B588,0.0,0.15555555555555556,0.15555555555555556,,,stable
RIKSBANK,Erik Thedéen,2024-06-01,DOC_01BDDB5E2091,0.0,0.10769230769230768,0.10769230769230768,,,stable
RIKSBANK,Erik Thedéen,2024-06-01,DOC_22844527C24A,0.0,0.11666666666666665,0.11666666666666665,,,stable
RIKSBANK,Erik Thedéen,2024-06-01,DOC_47D3FEE10679,0.0,0.12727272727272726,0.12727272727272726,,,stable
RIKSBANK,Erik Thedéen,2024-06-01,DOC_5BA427702713,0.0,0.13999999999999999,0.13999999999999999,,,stable
RIKSBANK,Erik Thedéen,2024-06-01,DOC_6BE49F0422A0,0.0,0.175,0.175,,,stable
RIKSBANK,Erik Thedéen,2024-06-01,DOC_8941C00675E1,0.0,0.15555555555555556,0.15555555555555556,,,stable
RIKSBANK,Erik Thedéen,2024-06-01,DOC_925CDC81068D,0.0,0.09999999999999999,0.09999999999999999,,,stable
RIKSBANK,Erik Thedéen,2024-06-01,DOC_98C4D19360E0,0.0,0.19999999999999998,0.19999999999999998,,,stable
RIKSBANK,Erik Thedéen,2024-06-01,DOC_98FC34E13654,0.0,0.2333333333333333,0.2333333333333333,,,stable
RIKSBANK,Erik Thedéen,2024-06-01,DOC_A8616B35AAB5,1.4,0.27999999999999997,0.27999999999999997,,,stable
RIKSBANK,Erik Thedéen,2024-06-01,DOC_A880B8466A22,0.0,0.0,0.0,,,stable
RIKSBANK,Erik Thedéen,2024-06-01,DOC_B8D1A598E0E1,0.0,0.0,0.0,,,stable
RIKSBANK,Erik Thedéen,2024-06-01,DOC_CA910D5F7EEC,0.0,0.0,0.0,,,stable
RIKSBANK,Erik Thedéen,2024-06-01,DOC_CEDAA1C9A521,0.0,0.0,0.0,,,stable
RIKSBANK,Erik Thedéen,2025-06-01,DOC_8FCFC401EFDB,1.4,1.4,1.4,,,stable
RIKSBANK,Erik Thedéen,2025-06-01,DOC_92355870AD52,0.0,0.9333333333333332,0.9333333333333332,,,stable
RIKSBANK,Erik Thedéen,2025-06-01,DOC_A7283776A265,1.4,1.4,1.4,,,stable
RIKSBANK,Erik Thedéen,2025-06-01,DOC_E65C7C1E0D32,1.4,1.0499999999999998,1.0499999999999998,,,stable
RIKSBANK,Erik Thedéen visits Norrköping,2024-06-01,DOC_7D0967E06922,0.0,0.0,0.0,,,stable
RIKSBANK,Erik Thedéen visits Skellefteå,2024-06-01,DOC_A7A9A7905448,0.0,0.0,0.0,,,stable
RIKSBANK,Henry Ohlsson,2021-06-01,DOC_E4A867ACF499,0.0,0.0,0.0,,,stable
RIKSBANK,Henry Ohlsson,2022-06-01,DOC_020EB82DB021,0.0,0.0,0.0,,,stable
RIKSBANK,Ingves,2021-06-01,DOC_7A8C40E323B4,0.0,0.0,0.0,,,stable
RIKSBANK,Ingves,2022-06-01,DOC_AB8974F946F2,0.0,0.0,0.0,,,stable
