bank,date_au,daily_avg_score,rolling_30d_score,rolling_90d_score,rolling_180d_score,momentum_30_vs_90,momentum_classification,documents_count
ECB,2025-10-03,3.0,0.029356444319959707,-0.21767656302935492,-0.6068705726358425,0.24703300734931463,stable,1
ECB,2025-10-06,-3.618947501009619,-0.4230119933062427,-0.4302559966531214,-0.7073968921083319,0.007244003346878747,stable,1
ECB,2025-10-07,0.0,-0.37601066071666017,-0.3427559966531214,-0.6882780571864852,-0.033254664063538775,stable,1
ECB,2025-10-15,0.0,-0.002105277889957661,-0.36560639642999615,-0.5765260729452428,0.36350111854003847,stable,1
ECB,2025-10-17,-3.618947501009619,-0.4042105557799153,-0.5689402154662226,-0.6565897947364107,0.16472965968630732,stable,1
ECB,2025-10-21,-2.2189475010096187,-0.5856842503028856,-0.6659994675570106,-0.696650248743416,0.08031521725412494,stable,1
ECB,2025-10-23,0.0,-0.5324402275480778,-0.5424700557923048,-0.6397541589739385,0.010029828244226935,stable,1
ECB,2025-10-27,0.0,-0.5324402275480778,-0.51233283047051,-0.6197476894732528,-0.020107397077567812,stable,1
ECB,2025-10-29,0.0,-0.5324402275480778,-0.48536794465627264,-0.6038567230765027,-0.047072282891805206,stable,1
ECB,2025-10-30,-4.028421251514429,-0.7713876140493895,-0.6625206099991805,-0.6894708362874509,-0.108867004050209,stable,2
ECB,2025-11-04,0.0,-1.3485263754543284,-0.630972009523029,-0.6726544744267814,-0.7175543659312994,stable,1
ECB,2025-11-06,-1.4,-1.2518129170592962,-0.6659278272719823,-0.6726544744267814,-0.5858850897873139,stable,1
ECB,2025-11-14,1.4,-1.0962573615037408,-0.5761048782601569,-0.5844708362874509,-0.5201524832435839,stable,1
ECB,2025-11-17,0.0,-0.6941520836137829,-0.5521005083326503,-0.5702154500365375,-0.14205157528113255,stable,1
ECB,2025-11-21,0.0,-0.44760236127938097,-0.5521005083326503,-0.5702154500365375,0.10449814705326937,stable,1
ECB,2025-11-22,-1.4,-0.6031579168349366,-0.5860164879993444,-0.6043617914999521,-0.01714142883559222,stable,1
ECB,2025-12-03,-2.2189475010096187,-0.5169925001442313,-0.7334504217823143,-0.6143489561464108,0.21645792163808308,stable,1
ECB,2025-12-08,0.0,-0.36982458350160313,-0.7028899875413845,-0.6458540308205857,0.3330654040397814,stable,1
ECB,2025-12-18,-2.0999999999999996,-1.1437895002019236,-0.678443967632735,-0.7602186105790222,-0.46534553256918865,stable,2
ECB,2025-12-19,0.0,-0.9531579168349363,-0.650175468981371,-0.7407258256923805,-0.3029824478535653,stable,1
ECB,2026-01-09,0.0,-0.6999999999999998,-0.8658479863635159,-0.6384654454846431,0.16584798636351605,stable,1
ECB,2026-01-14,-1.4,-0.8749999999999999,-0.9436257641412937,-0.6808896879088857,0.06862576414129384,stable,1
ECB,2026-01-28,0.0,-0.4666666666666666,-0.5476113462315092,-0.617253324272522,0.08094467956484258,stable,1
ECB,2026-02-05,-2.8,-1.0499999999999998,-0.7099122917508017,-0.6814517559115655,-0.3400877082491981,stable,2
ECB,2026-02-06,0.0,-0.8399999999999999,-0.655303653923817,-0.6619817057426636,-0.1846963460761829,stable,1
ECB,2026-02-11,0.0,-0.8399999999999999,-0.6084962500721157,-0.6435933250275896,-0.23150374992788414,stable,1
ECB,2026-02-12,0.0,-0.6999999999999998,-0.7084962500721156,-0.6261989108376548,0.00849625007211574,stable,1
ECB,2026-02-14,0.0,-0.4666666666666666,-0.6612631667339746,-0.6097199921314007,0.19459650006730794,stable,1
ECB,2026-02-19,0.0,-0.39999999999999997,-0.7084962500721156,-0.6097199921314007,0.3084962500721156,stable,1
ECB,2026-02-20,0.0,-0.35,-0.6084962500721157,-0.5940861461793135,0.25849625007211574,stable,1
ECB,2026-02-23,0.0,-0.3111111111111111,-0.5679298334006414,-0.5792339925248307,0.2568187222895303,stable,1
ECB,2026-02-26,-1.4,-0.41999999999999993,-0.6199342188131012,-0.5992526756339811,0.19993421881310125,stable,1
ECB,2026-03-05,0.0,-0.41999999999999993,-0.48125000000000007,-0.6299835820767493,0.06125000000000014,stable,1
ECB,2026-03-09,0.0,-0.15555555555555556,-0.48125000000000007,-0.6142339925248306,0.3256944444444445,stable,1
ECB,2026-03-19,-4.918947501009618,-0.9027067858585168,-0.7012631667339747,-0.669824583501603,-0.20144361912454212,stable,2
ECB,2026-03-23,0.0,-1.0531579168349363,-0.6574342188131013,-0.6530789689140629,-0.39572369802183505,stable,1
ECB,2026-03-24,0.0,-0.9027067858585169,-0.6187616177064482,-0.6371502135746956,-0.2839451681520687,stable,1
ECB,2026-03-25,0.0,-0.9027067858585169,-0.5843859722783122,-0.6371502135746956,-0.3183208135802047,stable,1
ECB,2026-03-26,-3.6189475010096186,-1.2422368752524047,-0.7440997369483809,-0.7081453870850509,-0.49813713830402373,stable,1
ECB,2026-04-01,0.0,-1.0672368752524046,-0.7068947501009619,-0.8549258014762088,-0.3603421251514427,stable,1
ECB,2026-04-15,0.0,-1.2196992860027482,-0.6704155264220651,-0.7251169793209139,-0.5492837595806831,stable,1
ECB,2026-04-20,0.0,-0.5169925001442314,-0.6368947501009619,-0.6634795487373134,0.11990224995673049,stable,1
ECB,2026-04-22,0.0,-0.5169925001442314,-0.6065664286675828,-0.6634795487373134,0.08957392852335144,stable,1
ECB,2026-04-30,-1.292481250360578,-0.2584962500721158,-0.6681131548752294,-0.6220389339232186,0.4096169048031136,stable,2
ECB,2026-05-04,0.0,-0.2584962500721158,-0.6377443751081735,-0.6220389339232186,0.3792481250360577,stable,1
ECB,2026-05-05,0.0,-0.21541354172676316,-0.6100163587991225,-0.5808624633349834,0.39460281707235934,stable,1
ECB,2026-05-06,1.0,-0.04178303576579699,-0.4447989674947746,-0.5356949643825553,0.4030159317289776,stable,1
ECB,2026-05-07,0.0,-0.036560156295072366,-0.4447989674947746,-0.520814548705262,0.40823881119970223,stable,1
ECB,2026-05-08,0.0,-0.032497916706730995,-0.42626567718249236,-0.506738479821336,0.39376776047576134,stable,1
ECB,2026-05-12,0.0,-0.029248125036057893,-0.42626567718249236,-0.493403256668143,0.39701755214643447,stable,1
ECB,2026-05-13,-1.4,-0.15386193185096173,-0.4845990105158256,-0.5670874671944587,0.3307370786648639,stable,1
ECB,2026-05-22,0.0,-0.18805347226228653,-0.5286534660172643,-0.5597034375941509,0.34059999375497774,stable,1
ECB,2026-05-28,1.4,-0.029248125036057893,-0.4204941072561818,-0.506738479821336,0.3912459822201239,stable,1
ECB,2026-06-01,0.0,0.09999999999999991,-0.40138073874453717,-0.44676692573999494,0.501380738744537,stable,1
ECB,2026-06-02,0.0,0.09090909090909083,-0.38392940227738337,-0.43500990137841616,0.4748384931864742,stable,1
FED,2021-01-08,0.0,0.0,0.0,0.0,0.0,stable,1
FED,2021-01-12,1.4,0.7,0.7,0.7,0.0,stable,1
FED,2021-01-13,0.0,0.4666666666666666,0.4666666666666666,0.4666666666666666,0.0,stable,2
FED,2021-01-27,0.7,0.5249999999999999,0.5249999999999999,0.5249999999999999,0.0,stable,2
FED,2021-02-10,1.4,0.875,0.7,0.7,0.17500000000000004,stable,1
FED,2021-02-16,0.0,0.6999999999999998,0.5833333333333334,0.5833333333333334,0.11666666666666647,stable,1
FED,2021-02-18,0.0,0.5249999999999999,0.5,0.5,0.02499999999999991,stable,1
FED,2021-02-22,0.0,0.41999999999999993,0.4375,0.4375,-0.01750000000000007,stable,1
FED,2021-02-24,0.0,0.3499999999999999,0.3888888888888889,0.3888888888888889,-0.03888888888888897,stable,2
FED,2021-02-25,0.0,0.29999999999999993,0.35,0.35,-0.050000000000000044,stable,1
FED,2021-03-01,-1.4,0.0,0.1909090909090909,0.1909090909090909,-0.1909090909090909,stable,1
FED,2021-03-02,1.4,0.175,0.2916666666666667,0.2916666666666667,-0.1166666666666667,stable,1
FED,2021-03-17,-0.7,-0.0875,0.21538461538461537,0.21538461538461537,-0.30288461538461536,stable,2
FED,2021-03-18,0.0,-0.0875,0.19999999999999998,0.19999999999999998,-0.2875,stable,1
FED,2021-03-22,0.0,-0.0875,0.18666666666666665,0.18666666666666665,-0.27416666666666667,stable,2
FED,2021-03-23,0.0,-0.07777777777777778,0.175,0.175,-0.25277777777777777,stable,2
FED,2021-03-25,0.0,-0.07777777777777778,0.16470588235294117,0.16470588235294117,-0.24248366013071895,stable,1
FED,2021-03-29,0.0,-0.0875,0.15555555555555556,0.15555555555555556,-0.24305555555555555,stable,1
FED,2021-03-30,0.0,-0.07777777777777778,0.14736842105263157,0.14736842105263157,-0.22514619883040934,stable,1
FED,2021-04-14,0.0,-0.0875,0.08235294117647059,0.13999999999999999,-0.1698529411764706,stable,1
FED,2021-04-28,-0.7,-0.2333333333333333,0.0,0.09999999999999998,-0.2333333333333333,stable,2
FED,2021-05-03,0.0,-0.2333333333333333,0.0,0.09545454545454544,-0.2333333333333333,stable,1
FED,2021-05-05,0.0,-0.175,0.0,0.09130434782608694,-0.175,stable,1
FED,2021-05-11,0.0,-0.13999999999999999,-0.07368421052631578,0.08749999999999998,-0.0663157894736842,stable,1
FED,2021-05-12,0.0,-0.11666666666666665,-0.06999999999999999,0.08399999999999999,-0.04666666666666666,stable,1
FED,2021-05-13,0.0,-0.09999999999999999,-0.06666666666666667,0.08076923076923076,-0.033333333333333326,stable,1
FED,2021-05-17,0.0,-0.09999999999999999,-0.06666666666666667,0.07777777777777777,-0.033333333333333326,stable,1
FED,2021-05-24,0.0,-0.0875,-0.06999999999999999,0.07499999999999998,-0.0175,stable,1
FED,2021-05-26,0.0,-0.07777777777777778,-0.07368421052631578,0.07241379310344827,-0.004093567251461996,stable,2
FED,2021-06-01,1.4,0.15555555555555556,0.0,0.11666666666666667,0.15555555555555556,stable,1
FED,2021-06-03,1.4,0.3111111111111111,0.07368421052631578,0.15806451612903225,0.23742690058479532,stable,1
FED,2021-06-16,-0.7,0.41999999999999993,0.07777777777777777,0.13124999999999998,0.34222222222222215,stable,2
FED,2021-06-23,0.0,0.41999999999999993,0.0875,0.12727272727272726,0.3324999999999999,stable,1
FED,2021-06-28,0.0,0.41999999999999993,0.09333333333333332,0.12352941176470586,0.3266666666666666,stable,1
FED,2021-07-11,0.0,-0.175,0.0875,0.08484848484848484,-0.26249999999999996,stable,1
FED,2021-07-28,0.20000000000000004,0.10000000000000002,0.15333333333333332,0.071875,-0.0533333333333333,stable,2
FED,2021-07-30,0.0,0.06666666666666668,0.14375,0.06969696969696969,-0.07708333333333331,stable,1
FED,2021-08-03,0.0,0.05000000000000001,0.15333333333333332,0.06764705882352941,-0.1033333333333333,stable,1
FED,2021-08-04,0.0,0.04000000000000001,0.14375,0.06571428571428571,-0.10374999999999998,stable,1
FED,2021-08-05,0.0,0.03333333333333334,0.13529411764705881,0.06388888888888888,-0.10196078431372547,stable,1
FED,2021-08-17,0.0,0.03333333333333334,0.16428571428571428,0.026470588235294117,-0.13095238095238093,stable,1
FED,2021-08-27,0.0,0.0,0.1769230769230769,0.028125,-0.1769230769230769,stable,1
FED,2021-09-09,0.0,0.0,-0.04166666666666666,0.029032258064516127,0.04166666666666666,stable,1
FED,2021-09-22,-1.6253496664211535,-0.5417832221403845,-0.12957724240192306,-0.0009388765341168023,-0.4122059797384615,stable,2
FED,2021-09-24,0.0,-0.4063374166052884,-0.11877913886842945,-0.0009053452293269164,-0.28755827773685894,stable,1
FED,2021-09-27,0.0,-0.4063374166052884,-0.11877913886842945,-0.0009388765341168023,-0.28755827773685894,stable,1
