bank,speaker,date_au,doc_id,clipped_score,rolling_90d_score,rolling_30d_score,prior_60d_score,shift_30_vs_prior_60,shift_direction,alert_strength
FED,Michelle W. Bowman,2023-02-13,DOC_1E233AFE7CBE,0.0,1.0,0.0,2.0,-2.0,dovish shift,strong
FED,Michelle W. Bowman,2023-03-03,DOC_B3328141495D,0.0,0.6666666666666666,0.0,2.0,-2.0,dovish shift,strong
FED,Michelle W. Bowman,2023-03-14,DOC_7FEEAF7FC0B0,0.0,0.5,0.0,2.0,-2.0,dovish shift,strong
FED,Lisa D. Cook,2023-03-31,DOC_564750CDD75E,-1.4189475010096184,-0.0094737505048092,-1.4189475010096184,1.4,-2.8189475010096183,dovish shift,strong
FED,Philip N. Jefferson,2023-05-12,DOC_91B0FF0D9415,2.4,0.6,2.4,0.0,2.4,hawkish shift,strong
FED,Philip N. Jefferson,2023-05-31,DOC_79D7AE3A8577,3.8,0.85,1.1333333333333333,0.0,1.1333333333333333,hawkish shift,mild
FED,Jerome H. Powell,2023-08-25,DOC_37721B8E2F23,1.0,2.4,1.0,3.8,-2.8,dovish shift,strong
FED,Michael S. Barr,2023-09-08,DOC_80FE9812E827,0.0,0.7,0.0,1.4,-1.4,dovish shift,mild
FED,Jerome H. Powell,2023-09-28,DOC_81419ABD7666,0.0,0.5,0.0,1.0,-1.0,dovish shift,mild
FED,Jerome H. Powell,2023-10-25,DOC_6A8BAF9E62B8,0.0,0.3333333333333333,0.0,1.0,-1.0,dovish shift,mild
FED,Michelle W. Bowman,2023-11-07,DOC_5EF90DD2808E,-1.2,-0.4333333333333333,-1.2999999999999998,0.0,-1.2999999999999998,dovish shift,mild
FED,Michelle W. Bowman,2023-11-09,DOC_87BA307FF11D,-1.2,-0.5428571428571428,-1.2666666666666666,0.0,-1.2666666666666666,dovish shift,mild
FED,Philip N. Jefferson,2023-11-14,DOC_2E670DD3B606,0.0,1.014210625757214,0.0,4.056842503028856,-4.056842503028856,dovish shift,extreme
FED,Michelle W. Bowman,2024-01-08,DOC_BF24491DDA80,1.8,-0.3333333333333333,1.8,-0.76,2.56,hawkish shift,strong
FED,Michelle W. Bowman,2024-01-17,DOC_272F7E206701,0.0,-0.0999999999999999,0.9,-0.6,1.5,hawkish shift,mild
FED,Adriana D. Kugler,2024-04-03,DOC_0B7F372ACB48,-2.2189475010096187,-0.1396491670032062,-2.2189475010096187,0.9,-3.1189475010096186,dovish shift,strong
FED,Adriana D. Kugler,2024-04-04,DOC_9DEEEC9BD2AA,0.0,-0.1047368752524046,-1.1094737505048091,0.9,-2.0094737505048093,dovish shift,strong
FED,Michelle W. Bowman,2024-05-03,DOC_54F26FB8DBDB,0.1999999999999999,0.4947702779220091,1.5264662506490407,0.2333333333333333,1.2931329173157071,hawkish shift,mild
FED,Michelle W. Bowman,2024-05-10,DOC_CD683C9FC52A,-1.4,0.3392147223664535,-0.6,0.607561785899726,-1.2075617858997258,dovish shift,mild
FED,Michelle W. Bowman,2024-05-15,DOC_D57B90CCE69E,0.0,0.3392147223664535,-0.3999999999999999,0.607561785899726,-1.007561785899726,dovish shift,mild
FED,Philip N. Jefferson,2024-05-20,DOC_FB9CC007D065,0.0,-0.1499999999999999,-0.7,0.4000000000000001,-1.1,dovish shift,mild
FED,Adriana D. Kugler,2024-06-18,DOC_E10EC7DE1C6B,-2.0,-1.054736875252405,-2.0,-0.7396491670032063,-1.2603508329967936,dovish shift,mild
FED,Michelle W. Bowman,2024-06-27,DOC_0A410DFA475F,1.2529325012980812,0.559890682172204,1.4352883341987208,0.264704643042583,1.1705836911561378,hawkish shift,mild
FED,Adriana D. Kugler,2024-07-16,DOC_051D7558FD5D,-4.8,-2.2666666666666666,-3.4,0.0,-3.4,dovish shift,strong
FED,Michelle W. Bowman,2024-07-18,DOC_990D878C7528,1.4,0.5228738891773514,1.4264662506490406,-0.2,1.6264662506490406,hawkish shift,mild
FED,Michelle W. Bowman,2024-08-10,DOC_80B000C8067D,4.179470570797252,1.260666946674177,2.7897352853986264,0.7509775004326937,2.0387577849659326,hawkish shift,strong
FED,Michelle W. Bowman,2024-08-20,DOC_6403BB919C8F,3.6,1.9264765104847736,3.8897352853986265,1.1411730005192324,2.748562284879394,hawkish shift,strong
FED,Michelle W. Bowman,2024-09-20,DOC_B18A28F47B70,0.0,1.6856669466741767,0.0,2.2475559288989024,-2.2475559288989024,dovish shift,strong
FED,Michelle W. Bowman,2024-09-24,DOC_97A23DC4548B,0.4000000000000001,1.5474861531564763,0.1333333333333334,2.3370671146786828,-2.203733781345349,dovish shift,strong
FED,Adriana D. Kugler,2024-09-25,DOC_23A5A72691DC,-1.5,-3.15,-1.5,-4.8,3.3,hawkish shift,strong
FED,Lisa D. Cook,2024-09-26,DOC_E5C6F260C2E8,0.4000000000000001,-0.4999999999999999,0.4000000000000001,-1.4,1.8,hawkish shift,mild
FED,Michelle W. Bowman,2024-09-26,DOC_5F31BB22FAA0,0.4000000000000001,1.425638652971036,0.2,3.059823523599084,-2.859823523599084,dovish shift,strong
FED,Michelle W. Bowman,2024-09-30,DOC_AB6553B66D99,0.4000000000000001,1.2974338213496566,0.24,3.059823523599084,-2.819823523599084,dovish shift,strong
FED,Lisa D. Cook,2024-10-01,DOC_BD76EE757142,0.0,-0.3333333333333332,0.2,-1.4,1.6,hawkish shift,mild
FED,Michelle W. Bowman,2024-10-02,DOC_6447BAF6BBBE,0.0,1.153274507866361,0.2,3.059823523599084,-2.859823523599084,dovish shift,strong
FED,Michelle W. Bowman,2024-10-11,DOC_59143D1477D6,0.0,1.0379470570797251,0.2,2.294867642699313,-2.0948676426993127,dovish shift,strong
FED,Opening Remarks,2024-10-23,DOC_9A5B8A80A676,1.4,0.7,1.4,0.0,1.4,hawkish shift,mild
FED,Jerome H. Powell,2024-11-14,DOC_9193F359FE69,1.6,0.2952631247475953,1.6,-0.1396491670032062,1.7396491670032064,hawkish shift,mild
FED,Adriana D. Kugler,2024-11-14,DOC_80B0459E2CBD,0.0,-0.75,0.0,-1.5,1.5,hawkish shift,mild
FED,Adriana D. Kugler,2024-12-03,DOC_65B2C1049F84,1.6,0.0333333333333333,0.8,-1.5,2.3,hawkish shift,strong
FED,Lisa D. Cook,2025-01-06,DOC_61EB29C49492,1.4,0.7,1.4,0.0,1.4,hawkish shift,mild
FED,Michelle W. Bowman,2025-01-09,DOC_A8808345A2DB,2.6,1.3,2.6,0.0,2.6,hawkish shift,strong
FED,Michelle W. Bowman,2025-01-31,DOC_F36CDA51C239,4.0,2.2,3.3,0.0,3.3,hawkish shift,strong
FED,Michelle W. Bowman,2025-02-05,DOC_72744245E2F3,0.0,1.65,2.2,0.0,2.2,hawkish shift,strong
FED,Adriana D. Kugler,2025-02-20,DOC_7918BE229D7E,4.33594000115385,2.9679700005769254,4.33594000115385,1.6,2.73594000115385,hawkish shift,strong
